product_name,aspect,avg_score,review_count,label
10_drg,가성비,0.454,64,긍정
10_drg,구성상품,0.613,22,긍정
10_drg,끈적임,0.064,81,중립
10_drg,무기자차,-0.075,10,중립
10_drg,밀착력,0.52,9,긍정
10_drg,발림성,0.389,255,긍정
10_drg,백탁,-0.161,122,부정
10_drg,보습력,0.459,110,긍정
10_drg,용량,0.29,9,긍정
10_drg,유기자차,-0.003,26,중립
10_drg,유분기,-0.134,25,부정
10_drg,자극,0.03,140,중립
10_drg,자외선차단,0.324,18,긍정
10_drg,지성,0.215,37,긍정
10_drg,쿨링감,0.574,19,긍정
10_drg,톤업,0.141,45,긍정
10_drg,트러블,0.071,56,중립
10_drg,향냄새,0.145,47,긍정
10_drg,흡수력,0.44,45,긍정
1_roundlab,가성비,0.45,49,긍정
1_roundlab,구성상품,0.647,29,긍정
1_roundlab,끈적임,0.084,73,중립
1_roundlab,무기자차,-0.123,14,부정
1_roundlab,밀착력,0.219,7,긍정
1_roundlab,발림성,0.43,253,긍정
1_roundlab,백탁,-0.064,104,중립
1_roundlab,보습력,0.492,105,긍정
1_roundlab,용량,0.407,7,긍정
1_roundlab,유기자차,-0.278,12,부정
1_roundlab,유분기,-0.145,25,부정
1_roundlab,유지력,0.32,10,긍정
1_roundlab,자극,0.03,154,중립
1_roundlab,자외선차단,0.61,34,긍정
1_roundlab,지성,0.428,26,긍정
1_roundlab,톤업,0.414,45,긍정
1_roundlab,트러블,-0.126,46,부정
1_roundlab,향냄새,0.066,14,중립
1_roundlab,흡수력,0.4,48,긍정
2_boj_rice,가성비,0.369,65,긍정
2_boj_rice,구성상품,0.551,95,긍정
2_boj_rice,끈적임,0.177,61,긍정
2_boj_rice,무기자차,0.3,8,긍정
2_boj_rice,밀착력,0.5,12,긍정
2_boj_rice,발림성,0.461,245,긍정
2_boj_rice,백탁,-0.049,110,중립
2_boj_rice,보습력,0.44,45,긍정
2_boj_rice,용량,0.338,15,긍정
2_boj_rice,유기자차,0.435,11,긍정
2_boj_rice,유분기,-0.076,15,중립
2_boj_rice,유지력,0.367,12,긍정
2_boj_rice,자극,0.154,96,긍정
2_boj_rice,자외선차단,0.627,21,긍정
2_boj_rice,지성,0.281,17,긍정
2_boj_rice,쿨링감,0.427,10,긍정
2_boj_rice,톤업,0.42,54,긍정
2_boj_rice,트러블,0.101,26,긍정
2_boj_rice,향냄새,0.035,28,중립
2_boj_rice,흡수력,0.363,61,긍정
3_boj_aqua,가성비,0.441,60,긍정
3_boj_aqua,구성상품,0.544,71,긍정
3_boj_aqua,끈적임,0.14,95,긍정
3_boj_aqua,무기자차,0.089,9,중립
3_boj_aqua,밀착력,0.2,7,긍정
3_boj_aqua,발림성,0.387,245,긍정
3_boj_aqua,백탁,-0.138,106,부정
3_boj_aqua,보습력,0.489,64,긍정
3_boj_aqua,용량,0.433,18,긍정
3_boj_aqua,유기자차,0.468,19,긍정
3_boj_aqua,유분기,0.147,19,긍정
